Giai đoạn,Sprint/Tuần,TaskID,Task,Ưu tiên,Ước lượng,Dependency,Deliverable,DoD (check),Status,Ghi chú
GĐ3: Bổ sung dữ liệu tiếng Việt (có điều kiện),28/09-04/10,T9b,"[Nhánh domain-incremental] Continue-train adapter meta_secalign_8b bằng RIÊNG dữ liệu VN (T8), không gộp EN",Trung bình,2 ngày,T1/T8,checkpoint_phase1.5_incremental,,Not started,"Xem record.md Decision #20 -- chạy song song T9, không thay thế; sạch hơn cho RQ2 vì điểm xuất phát là EN defense đã công bố, không lẫn confound tái lập pipeline. | Xem record.md Decision #21: N cuối cùng (EN:VN) chưa chốt -- đo throughput thật trước; pod ckey.vn giới hạn 24h/lượt, code đã hỗ trợ resume (checkpoint_every / --resume_from_checkpoint). | Xem thêm Decision #25/#26: pipeline train_dpo.py đã verify chạy được thật (dùng chung code với T9), cùng chờ quyết định GPU/N thật trước khi chạy."
GĐ3: Bổ sung dữ liệu tiếng Việt (có điều kiện),28/09-04/10,T10b,"Đánh giá lại VN_ASR VÀ EN_ASR sau incremental-train (đo catastrophic forgetting), so với GĐ2",Trung bình,1 ngày,T9b,vn_en_asr_phase1.5_incremental.json,,Not started,Xem record.md Decision #20.
GĐ4: Optuna search + train full-scale,05/10-11/10,T11,Setup Optuna search space quanh giá trị công bố,Cao,1 ngày,T6/T10,optuna_config.py,,Not started,
GĐ4: Optuna search + train full-scale,05/10-11/10,T12,"Chạy search trên proxy rẻ (subsample 20%, 1 epoch, MedianPruner, 15-30 trial)",Cao,2 ngày,T11,optuna_study.db,,Not started,
GĐ4: Optuna search + train full-scale,12/10-18/10,T13,"Chọn config tốt nhất, train full-scale",Cao,2 ngày,T12,checkpoint_final,,Not started,
GĐ4: Optuna search + train full-scale,12/10-18/10,T14,"Đánh giá config full-scale, so với baseline Meta-SecAlign-8B",Cao,1 ngày,T13,eval_full_scale.json,,Not started,
GĐ5: Xây pool 10 vector tấn công mới (train/held-out),19/10-25/10,T15,"Sinh pool biến thể cho từng vector (≥1000/vector, 10 vector)",Cao,3 ngày,T14,attack_pool/,,Not started,
GĐ5: Xây pool 10 vector tấn công mới (train/held-out),19/10-25/10,T16,Split 80/20 train/held-out (held-out không dùng ở bước sinh dữ liệu nào),Cao,1 ngày,T15,train_test_split.json,,Not started,Quan trọng: tránh data leakage
GĐ5: Xây pool 10 vector tấn công mới (train/held-out),26/10-01/11,T17,Xác nhận lỗ hổng trên model hiện tại bằng 80% (test-then-train),Cao,2 ngày,T16,vulnerability_report.json,,Not started,
GĐ5: Xây pool 10 vector tấn công mới (train/held-out),26/10-01/11,T18,"Sinh preference pairs train từ kết quả xác nhận lỗ hổng, train model",Cao,2 ngày,T17,checkpoint_phase2,,Not started,
GĐ6: Audit judge + benchmark toàn bộ + ablation,02/11-08/11,T19,Chạy decode-accuracy probe + raw ASR cho 4 vector encoding/obfuscation (02/06/09/10) qua --decode_check,Cao,2 ngày,T18,decode_accuracy_report.json (decode_accuracy_rate + raw_asr theo vector),,Not started,"Thay cho ""audit thủ công"" ở bản đề xuất gốc — xem record.md Bài học (bổ sung 2026-09-06) và Decision #9"
GĐ6: Audit judge + benchmark toàn bộ + ablation,02/11-08/11,T20,Tính conditional_asr (ASR chỉ trên mẫu đã giải mã đúng) từ kết quả T19; bổ sung LLM-judge riêng nếu vẫn chưa đủ tách biệt,Trung bình,1 ngày,T19,conditional_asr_report.json,,Not started,evaluate_vector_with_decode_check() đã cài sẵn ở attack_vectors_eval.py — không cần viết LLM-judge riêng trừ khi conditional_asr vẫn không đủ tin cậy
GĐ6: Audit judge + benchmark toàn bộ + ablation,09/11-15/11,T21,"Chạy toàn bộ benchmark (AlpacaFarm, SEP, CyberSecEval2 [prompt-injection subtask], InjecAgent, MMLU, Vi-InjectEval, held-out)",Cao,3 ngày,T20,benchmark_results/,,Not started,"Đã bỏ GSM8K khỏi danh sách (không có trong 2 paper gốc lẫn external/meta_secalign — xem Decision #7); CyberSecEval2 chỉ tính subtask prompt-injection, không phải full suite"
GĐ6: Audit judge + benchmark toàn bộ + ablation,09/11-15/11,T22,Chạy 6 ablation (EN-only (baseline Meta) vs joint-from-scratch EN+VN (T9) vs incremental-VN-only trên meta_secalign_8b (T9b); DPO vs +RPO vs +RPO+cDPO; Optuna vs công bố; held-out vs train-set; instruction_hierarchy=True/False; role_order normal/swapped),Cao,2 ngày,T21,ablation_results/,,Not started,"Thêm 2 ablation kiểm tra bản chất cơ chế so với đề xuất gốc (xem Decision #9). 70B spot-check (RQ4, mẫu phân tầng, không train) gộp chung vào T22, không tách TaskID riêng. | Xem record.md Decision #20 (3 nhánh EN/VN thay vì 2)."
GĐ7: Viết bài + chọn venue,16/11-22/11,T23,"Viết draft đầy đủ (kết quả, phân tích, hạn chế đã biết trước)",Cao,4 ngày,T22,draft_v1.md,,Not started,
GĐ7: Viết bài + chọn venue,23/11-29/11,T24,"Kiểm tra Scimago Journal Rank cho venue dự kiến, xác nhận quartile",Trung bình,0.5 ngày,None,venue_shortlist.md,,Not started,
GĐ7: Viết bài + chọn venue,23/11-29/11,T25,"Hoàn thiện bản thảo, gửi advisor/review nội bộ",Cao,3 ngày,T23,draft_v2.md,,Not started,
GĐ7: Viết bài + chọn venue,30/11-06/12,T26,"Hoàn thiện theo góp ý, nộp bài",Cao,3 ngày,T25,submission,,Not started,Rơi vào tuần bắt đầu cao điểm T12 - ưu tiên tối đa
